productcode,productname,productprice,saleprice,available
8PLG24QLED30,"Maxlite PL Retrofit Lamp, 8 Watt (G24Q Base), 3000K",9.44,8.13,#N/A
8PLG24QLED35,"Maxlite PL Retrofit Lamp, 8 Watt (G24Q Base), 3500K",9.44,8.13,#N/A
8PLG24QLED40,"Maxlite PL Retrofit Lamp, 8 Watt (G24Q Base), 4000K",9.44,8.13,#N/A
8PLG24QLED50,"Maxlite PL Retrofit Lamp, 8 Watt (G24Q Base), 5000K",9.44,8.13,#N/A
8PLGU24LED27,"Maxlite PL Retrofit Lamp, 8 Watt (GU24 Base), 2700K",9.44,8.13,#N/A
8PLGU24LED30,"Maxlite PL Retrofit Lamp, 8 Watt (GU24 Base), 3000K",9.44,8.13,#N/A
8PLGU24LED40,"Maxlite PL Retrofit Lamp, 8 Watt (GU24 Base), 4000K",9.44,8.13,#N/A
8PLGX23LED27,"Maxlite PL Retrofit Lamp, 8 Watt (GX23 Base), 2700K",9.44,8.13,#N/A
8PLGX23LED35,"Maxlite PL Retrofit Lamp, 8 Watt (GX23 Base), 3500K",9.44,8.13,#N/A
8PLGX23LED40,"Maxlite PL Retrofit Lamp, 8 Watt (GX23 Base), 4000K",9.44,8.13,#N/A
8PLGX23LED50,"Maxlite PL Retrofit Lamp, 8 Watt (GX23 Base), 5000K",9.44,8.13,#N/A
9BR30SDLED30,"Maxlite Warm-On-Dim, BR30 Bulb, 9 Watt Replaces 65 Watt, Dimmable",8.45,7.54,#N/A
9PUADLED27,"MaxLite Puck Lamp, 9 Watt, E26, Dimmable, 2700K",13.91,,2313
9PUADLED30,"MaxLite Puck Lamp, 9 Watt, E26, Dimmable, 3000K",13.91,,245
AFB50U641KSBSS,"MaxLite Architectural Flood Light, 52 Watt",152.95,137.5,#N/A
AFC80U641KLBSS,"MaxLite Architectural Flood Light, 76 Watt",262.5,,#N/A
AR100LED50,"MaxLite LED Area Lamps, EX39 Base",200.83,173.75,#N/A
AR40LED50,"MaxLite LED Area Lamps, E39 Base",99.75,86.25,#N/A
BF12AUD30,"MaxLite Flood Light, Bullet Style, 11 Watt, 3000K",50.54,33.75,#N/A
BF12AUD50,"MaxLite Flood Light, Bullet Style, 11 Watt, 5000K",50.54,33.75,#N/A
BF30AUD30,"MaxLite Flood Light, Bullet Style, 28 Watt, 3000K",127.68,106.25,#N/A
BF30AUD50,"MaxLite Flood Light, Bullet Style, 28 Watt, 5000K",127.68,106.25,#N/A
BH2RBZ,"Maxlite Double In-Line Bullhorn at 180 Degrees, 4 Feet Between Centers",155.61,131.25,#N/A
BH2S4BZ,"Maxlite Double In-Line Square Bullhorn at 180 Degrees, 4 Feet Between Centers",234.08,198.75,#N/A
BH3RBZ,"Maxlite Triple In-Line Bullhorn at 180 Degrees, 30 Inches Between Centers",198.75,,#N/A
BH4RBZ,"Maxlite Quad In-Line Bullhorn at 180 Degrees, 30 Inches Between Centers",232.5,,#N/A
BL-CLRD17U-40B,"MaxLite Round 42"" LED Bollard",331.17,,#N/A
BLHE-090DU40,"MaxLite BayMAX LED Linear High Bays ECO Series, 90 Watt, 4000K, Dimmable",99.75,87.5,9
BLHE-090DU50,"MaxLite BayMAX LED Linear High Bays ECO Series, 90 Watt, 5000K, Dimmable",99.75,87.5,#N/A
BLHE-135DU40,"MaxLite BayMAX LED Linear High Bays ECO Series, 4000K, 135 Watt, Dimmable",121.03,103.75,73
BLHE-135DU50,"MaxLite BayMAX LED Linear High Bays ECO Series, 5000K, 135 Watt, Dimmable",121.03,103.75,127
BLHE-162DU40,"MaxLite BayMAX LED Linear High Bays ECO Series, Dimmable, 4000K",129.01,111.25,667
