productcode,productname,productprice,saleprice,available
MP-SM100-50,"MaxLite MPulse Surface Mount Luminaire, 100 Watt, 5000K",279.3,255,#N/A
MP-SM28-40,"MaxLite MPulse Surface Mount Luminaire, 28 Watt, 4000K",179.55,162.5,#N/A
MP-SM28-50,"MaxLite MPulse Surface Mount Luminaire, 28 Watt, 5000K",179.55,162.5,#N/A
MP-SM55-40,"MaxLite MPulse Surface Mount Luminaire, 55 Watt, 4000K",232.75,212.5,#N/A
MP-SM55-50,"MaxLite MPulse Surface Mount Luminaire, 55 Watt, 5000K",232.75,212.5,#N/A
PH-1000HPS-F-DE,"MaxLite 1000W Double Ended HPS, 120-240V - Complete Fixture with Lamp",319.2,252.5,#N/A
PH-1000HPS-L-DE,MaxLite 1000W Double Ended HPS Lamp - Lamp Only,38.57,33.75,#N/A
PH-1000HPS2-F-DE,"MaxLite 1000W Double Ended HPS, 277V - Complete Fixture with Lamp",333.83,265,#N/A
PH-1000HPS3-F-DE,"MaxLite 1000W Double Ended HPS, 347V - Complete Fixture with Lamp",333.83,265,#N/A
PH-GH360HBPRF-WC0,"MaxLite PhotonMax Green House LED, 360 Watts, Broad Par with Heavy 660nm and Far Red 730nm, 347-480V",905.08,789.88,#N/A
PH-GH360HBPRX-WC0,"MaxLite PhotonMax Green House LED, 360 Watts, Broad PAR with 660NM, White Finish, 347-480V",898.63,784.25,#N/A
PH-GH360HBXRF-WC0,"MaxLite PhotonMax Green House LED, 360 Watts, Blue 450nm with Heavy Red 660nm and Far Red 730nm, 347-480V",959.46,837.34,#N/A
PH-GH360HFSRF-WC0,"MaxLite PhotonMax Green House LED, 360 Watts, Full Spectrum with Heavy Red 660nm and Far Red 730nm, 347-480V",943.34,823.26,#N/A
PH-GH360UBPRF-WC0,"MaxLite PhotonMax Green House LED, 360 Watts, Broad Par with Heavy 660nm and Far Red 730nm, 120-277V",867.88,757.41,#N/A
PH-GH360UBPRX-WC0,"MaxLite PhotonMax Green House LED, 360 Watts, Broad PAR with 660NM, White Finish, 120-277V",861.43,751.79,#N/A
PH-GH360UBXRF-WC0,"MaxLite PhotonMax Green House LED, 360 Watts, Blue 450nm with Heavy Red 660nm and Far Red 730nm, 120-277V",931.25,812.71,#N/A
PH-GH360UFSRF-WC0,"MaxLite PhotonMax Green House LED, 360 Watts, Full Spectrum with Heavy Red 660nm and Far Red 730nm, 120-277V",909.04,793.34,#N/A
PH-GH600HBPRF-WC0,"MaxLite PhotonMax Green House LED, 600 Watts, Broad Par with Heavy 660nm and Far Red 730nm, White Finish, 347-480V",1096.19,956.66,#N/A
PH-GH600HBPRX-WC0,"MaxLite PhotonMax Green House LED, 600 Watts, Broad PAR with Heavy 660NM, White Finish, 347-480V",1089.95,951.21,#N/A
PH-GH600HBXRF-WC0,"MaxLite PhotonMax Green House LED, 600 Watts, Blue 450nm with Heavy Red 660nm and Far Red 730nm, White Finish, 347-480V",1179.2,1029.11,#N/A
PH-GH600HFSRF-WC0,"MaxLite PhotonMax Green House LED, 600 Watts, Full Spectrum with Heavy Red 660nm and Far Red 730nm, White Finish, 347-480V",1146.62,1000.68,#N/A
PH-GH600UBPRF-WC0,"MaxLite PhotonMax Green House LED, 600 Watts, Broad Par with Heavy 660nm and Far Red 730nm, White Finish, 120-277V",1035.46,903.66,#N/A
PH-GH600UBPRX-WC0,"MaxLite PhotonMax Green House LED, 600 Watts, Broad PAR with 660NM, White Finish, 120-277V",1029.22,898.21,#N/A
PH-GH600UBXRF-WC0,"MaxLite PhotonMax Green House LED, 600 Watts, Blue 450nm with Heavy Red 660nm and Far Red 730nm, White Finish, 120-277V",1118.46,976.11,#N/A
PH-GH600UFSRF-WC0,"MaxLite PhotonMax Green House LED, 600 Watts, Full Spectrum with Heavy Red 660nm and Far Red 730nm, White Finish, 120-277V",1085.89,947.68,#N/A
PH-MHF315230,"MaxLite PhotonMax Indoor Grow Light Fixture with Ceramic Metal Halide Lamp, 315 W, 220-277V",304.57,233.8,#N/A
PH-MHF630130,"MaxLite PhotonMax Indoor Grow Light Fixture with Ceramic Metal Halide Lamp, 630W, 120-240V",417.62,352.5,#N/A
PH-MHF630230,"MaxLite PhotonMax Indoor Grow Light Fixture with Ceramic Metal Halide Lamp, 630W, 220-277V",417.62,352.5,#N/A
PH-MHL315130,"MaxLite PhotonMax Metal Halide Indoor Grow Lamp, 315 W, 120-240V, Lamp Only",85.12,60,#N/A
PH-SL1200UF-L,"MaxLite PhotonMax, 1200 Watt, Indoor Grow Light Spotlight",3468.64,2942.5,#N/A
PH-SL600UF-L,"MaxLite PhotonMax, 600 Watt, Indoor Grow Light Spotlight",1734.32,1471.25,#N/A
PL-SQ12S-,"Maxlite Square Steel Pole, 12 Feet, 11 Gauge Wall Thickness",281.96,251.75,#N/A
QM-3AU7T330N-B,"MaxLite QuadroMax LED Fixture, 80 Watt, 120-277V, Type III, 3000K",185,,#N/A
QM-3AU7T340N-B,"MaxLite QuadroMax LED Fixture, 80 Watt, 120-277V, Type III, 4000K",208.81,196.25,203
QM-3AU7T440N-B,"MaxLite QuadroMax LED Fixture, 80 Watt, 120-277V, 4000K, Type IV",208.81,196.25,64
QM-3AU7T530N-B,"MaxLite QuadroMax LED Fixture, 80 Watt, 120-277V, Type V, 3000K",185,,#N/A
QM-3AU7T540N-B,"MaxLite QuadroMax LED Fixture, 80 Watt, 120-277V, Type V, 4000K",208.81,196.25,89
QM-4AU7T340N-B,"MaxLite QuadroMax LED Fixtures, 110 Watt, 120-270V, 4000K, Type III",262.01,246.25,308
QM-4AU7T440N-B,"MaxLite QuadroMax LED Fixtures, 110 Watt, 120-270V, 4000K, Type IV",262.01,246.25,75
QM-5AU7T340N-B,"MaxLite QuadroMax LED Fixtures, 135 Watt, 120-270V, 4000K, Type III",277.97,261.25,147
QM-5AU7T440N-B,"MaxLite QuadroMax LED Fixtures, 135 Watt, 120-270V, 4000K, Type IV",261.25,,#N/A
QM-5AU7T530N-B,"MaxLite QuadroMax LED Fixtures, 135 Watt, 120-270V, 3000K, Type V",246.25,,#N/A
QM-6AH8T340N-B,"MaxLite QuadroMax LED Fixtures, 185 Watt, 347-480V, 4000K, Type III",333.75,,#N/A
QM-6AH8T540N-B,"MaxLite QuadroMax LED Fixtures, 185 Watt, 347-480V, 4000K, Type V",333.75,,#N/A
QM-6AH8T550N-B,"MaxLite QuadroMax LED Fixtures, 185 Watt, 347-480V, 5000K, Type V",333.75,,#N/A
QM-6AU7T340N-B,"MaxLite QuadroMax LED Fixtures, 160 Watt, 120-277V, 4000K, Type III",271.25,,#N/A
QM-6AU7T440N-B,"MaxLite QuadroMax LED Fixtures, 160 Watt, 120-277V, 4000K, Type IV",271.25,,#N/A
QMP-100,"MaxLite QuadroMax Plus LED Fixtures, Dimmable",444.22,378.75,#N/A
QMP-150,"MaxLite QuadroMax Plus LED Fixtures, Dimmable",585.2,511.25,#N/A
QMP-200,"MaxLite QuadroMax Plus LED Fixtures, Dimmable",712.88,630,#N/A
QMP-250,"MaxLite QuadroMax Plus LED Fixtures, Dimmable",867.16,762.5,#N/A
QMP-300,"MaxLite QuadroMax Plus LED Fixtures, Dimmable",1037.4,921.25,#N/A
QMP-50,"MaxLite QuadroMax Plus LED Fixtures, Dimmable",303.24,246.25,#N/A
R4HT1S00BZ,"Maxlite Single Round Horizontal Tenon, 90 Degree, Bronze",28.2,22.53,#N/A
R4HT218BZ,"Maxlite Double Round Horizontal Tenon, 180 Degree, Bronze",42.56,35,#N/A
R4HT290BZ,"Maxlite Double Round Horizontal Tenon, 90 Degree, Bronze",39.9,32.5,#N/A
R4HT312BZ,"Maxlite Triple Round Horizontal Tenon, 120 Degree, Bronze",49.21,40,#N/A
R4HT390BZ,"Maxlite Triple Round Horizontal Tenon, 90 Degree, Bronze",49.21,40,#N/A
R4HT490BZ,"Maxlite Quad Round Horizontal Tenon, 90 Degree, Bronze",57.19,47.5,48
RCF61330W,"MaxLite Universal Recessed Downlight Fixture, 6 Inch, 13 Watts, 3000K",27.93,24.06,#N/A
RCF61340W,"MaxLite Universal Recessed Downlight Fixture, 6 Inch, 13 Watts, 4000K",25.6,22.19,#N/A
RCF61830W,"MaxLite Universal Recessed Downlight Fixture, 6 Inch, 18 Watts, 3000K",26.93,23.44,#N/A
RCF61840W,"MaxLite Universal Recessed Downlight Fixture, 6 Inch, 18 Watts, 4000K",26.93,23.44,#N/A
RCF81330W,"MaxLite Universal Recessed Downlight Fixture, 8 Inch, 13 Watts, 3000K",32.25,28.13,#N/A
RCF81340W,"MaxLite Universal Recessed Downlight Fixture, 8 Inch, 13 Watts, 4000K",29.93,26.25,#N/A
RCF81830W,"MaxLite Universal Recessed Downlight Fixture, 8 Inch, 18 Watts, 3000K",31.26,27.5,#N/A
RCF81840W,"MaxLite Universal Recessed Downlight Fixture, 8 Inch, 18 Watts, 4000K",31.26,27.5,#N/A
RF408ICAT27WJ,"MaxLite LED J-Box 4"" Downlights, JA8, 2700K",15.96,13.75,#N/A
RF408ICAT30W,"MaxLite LED J-Box 4"" Downlights, 3000K",15.63,13.13,#N/A
RF408ICAT40W,"MaxLite LED J-Box 4"" Downlights, 4000K",15.63,13.44,#N/A
RF610ICAT27WJ,"MaxLite LED J-Box 6"" Downlights, JA8, 2700K",17.29,14.69,#N/A
RF610ICAT30W,"MaxLite LED J-Box 6"" Downlights, 3000K",16.96,14.38,#N/A
RF610ICAT40W,"MaxLite LED J-Box 6"" Downlights, 4000K",16.96,14.38,#N/A
RKT2014U4035DV,"MaxLite Recessed Troffer Retrofit Kit, 20 Inch, 40 Watt, 3500K, Dimmable",39.9,33.13,#N/A
RL-4818U-40,"Maxlite Cooler and Freezer Lamp, 48 Inches, 18 Watt",26.79,22.53,#N/A
RL-6022U-40,"Maxlite Cooler and Freezer Lamp, 60 Inches, 22 Watt",29.61,26.5,#N/A
RL-7226U-40,"Maxlite Cooler and Freezer Lamp, 72 Inches, 26 Watt",32.43,29.15,#N/A
RR-409U-30W,"MaxLite Downlight Retrofit Fixture, 4 Inch, 9 Watt, 3000K",22.61,16.88,#N/A
RR-409U-40W,"MaxLite Downlight Retrofit Fixture, 4 Inch, 9 Watt, 4000K",22.61,16.88,#N/A
RR-409U-50W,"MaxLite Downlight Retrofit Fixture, 4 Inch, 9 Watt, 5000K",22.61,16.88,#N/A
RR-613U-30W,"MaxLite Downlight Retrofit Fixture, 6 Inch, 13 Watt, 3000K",27.93,20.63,#N/A
RR-613U-40W,"MaxLite Downlight Retrofit Fixture, 6 Inch, 13 Watt, 4000K",27.93,20.63,#N/A
RR-613U-50W,"MaxLite Downlight Retrofit Fixture, 6 Inch, 13 Watt, 5000K",27.93,20.63,#N/A
RR41027W-L9,"MaxLite Residential Retrofit, 4 Inch, 10 Watt, 2700K",6.32,5,#N/A
RR41030W-L9,"MaxLite Residential Retrofit, 4 Inch, 10 Watt, 3000K",6.32,5,#N/A
RR41040W-L9,"MaxLite Residential Retrofit, 4 Inch, 10 Watt, 4000K",6.32,5,#N/A
RR41227WC,"MaxLite Recessed Downlight Fixture, 4 Inch, 12 Watt, High CRI",7.65,6.56,#N/A
RR41530W-V2,"MaxLite Commercial Downlight Retrofit, 4 Inch, 15 Watt",53.75,,#N/A
RR42340W,"MaxLite Commercial Downlight Retrofit, 4 Inch, 23 Watt",53.75,,#N/A
RR61127W-L9,"MaxLite Residential Retrofit, 6 Inch, 11 Watt, 2700K",8.31,7.19,#N/A
RR61130W-L9,"MaxLite Residential Retrofit, 6 Inch, 11 Watt, 3000K",8.31,7.19,#N/A
RR61140W-L9,"MaxLite Residential Retrofit, 6 Inch, 11 Watt, 4000K",8.31,7.19,#N/A
RR61530W-V2,"MaxLite Commercial Downlight Retrofit, 6 Inch, 15 Watt",45.63,,#N/A
RR61827W-L9,"MaxLite Recessed Downlight, 6 Inch, 18 Watt, 2700K",9.98,8.44,#N/A
RR61830W-L9,"MaxLite Recessed Downlight, 6 Inch, 18 Watt, 3000K",9.98,8.44,#N/A
RR81527W-V2,"MaxLite Commercial Downlight Retrofit, 8 Inch, 14 Watt",51.25,,#N/A
RR82327W,"MaxLite Commercial Downlight Retrofits, 8 Inch, 23 Watt",58.52,51.25,#N/A
RR91530W-V2,"MaxLite Commercial Downlight Retrofit, 9 Inch, 14 Watt",51.25,,#N/A
RRECO61230-W-V2,"MaxLite Commercial Downlight Retrofit, Economic, 6 Inch, 12 Watt, 3000K, Dimmable",55.86,48.13,#N/A
RRECO61240-W-V2,"MaxLite Commercial Downlight Retrofit, Economic, 6 Inch, 12 Watt, 4000K, Dimmable",55.86,48.13,#N/A
RRECO61830W-V2,"MaxLite Commercial Downlight Retrofit, Economic, 6 Inch, 18 Watt, 3000K, Dimmable",57.19,49.38,#N/A
RRECO61840W-V2,"MaxLite Commercial Downlight Retrofit, Economic, 6 Inch, 18 Watt, 4000K, Dimmable",57.19,49.38,#N/A
RRECO62730-W-V2,"MaxLite Commercial Downlight Retrofit, Economic, 6 Inch, 27 Watt, 3000K, Dimmable",61.18,53.75,#N/A
RRECO62740-W-V2,"MaxLite Commercial Downlight Retrofit, Economic, 6 Inch, 27 Watt, 4000K, Dimmable",61.18,53.75,#N/A
RRECO81230-W-V2,"MaxLite Commercial Downlight Retrofit, Economic, 8 Inch, 12 Watt, 3000K, Dimmable",61.18,53.75,#N/A
RRECO81240-W-V2,"MaxLite Commercial Downlight Retrofit, Economic, 8 Inch, 12 Watt, 4000K, Dimmable",61.18,53.75,#N/A
RRECO81830-W-V2,"MaxLite Commercial Downlight Retrofit, Economic, 8 Inch, 17 Watt, 3000K, Dimmable",62.51,53.75,#N/A
RRECO81840-W-V2,"MaxLite Commercial Downlight Retrofit, Economic, 8 Inch, 17 Watt, 4000K, Dimmable",62.51,53.75,#N/A
RRECO82440W-V2,"MaxLite Commercial Downlight Retrofit, Economic, 8 Inch, 23 Watt, Dimmable",65.17,56.25,#N/A
RRECO84040W-V2,"MaxLite Commercial Downlight Retrofit, Economic, 8 Inch, 40 Watt, Dimmable",74.48,63.75,#N/A
RRXC10U30,"MaxLite RRC Light Engine, 9.6 Watts, 3000K",62.51,53.75,#N/A
RRXC10U35,"MaxLite RRC Light Engine, 9.6 Watts, 3500K",62.51,53.75,#N/A
RRXC10U40,"MaxLite RRC Light Engine, 9.6 Watts, 4000K",62.51,53.75,#N/A
RRXC12U30ZEM,"MaxLite RRC Light Engine, 12 Watts, with Emergency Battery Backup, 3000K",210.14,193.75,#N/A
RRXC12U35ZEM,"MaxLite RRC Light Engine, 12 Watts, with Emergency Battery Backup, 3500K",210.14,193.75,#N/A
RRXC12U40ZEM,"MaxLite RRC Light Engine, 12 Watts, with Emergency Battery Backup, 4000K",210.14,193.75,#N/A
RRXC15U27Z,"MaxLite RRC Light Engine, 13.3 Watts, 2700K",63.84,55,#N/A
RRXC15U30,"MaxLite RRC Light Engine, 13.3 Watts, 3000K",63.84,55,#N/A
RRXC15U30ZEM,"MaxLite RRC Light Engine, 13.3 Watts, with Emergency Battery Backup, 3000K",211.47,195,#N/A
RRXC15U35,"MaxLite RRC Light Engine, 13.3 Watts, 3500K",63.84,55,#N/A
RRXC15U35ZEM,"MaxLite RRC Light Engine, 13.3 Watts, with Emergency Battery Backup, 3500K",211.47,195,#N/A
RRXC15U40,"MaxLite RRC Light Engine, 13.3 Watts, 4000K",63.84,55,#N/A
RRXC15U40ZEM,"MaxLite RRC Light Engine, 13.3 Watts, with Emergency Battery Backup, 4000K",211.47,195,#N/A
RS-482XT8,"MaxLite LED T8 Lamp Ready, 4 Foot, Retrofit Strip, Dimmable",25.38,21.86,#N/A
RS-4835U-40,"MaxLite LED Retrofit Strip, 4 Foot, 35 Watt, Dimmable, 4000K",62.51,53.75,#N/A
RS-4835U-50,"MaxLite LED Retrofit Strip, 4 Foot, 35 Watt, Dimmable, 5000K",62.51,53.75,#N/A
RS-4846U-50,"MaxLite LED Retrofit Strip, 4 Foot, 46 Watt, Dimmable",74.48,63.75,#N/A
S4VT1S00BZ,"Maxlite Single Square Vertical Pole Tenon, 4 Inches",49.21,40,#N/A
SEC15U40BPC,"MaxLite Security Light w/ Photocontrol, 15 Watt, 4000K",85.12,61.88,#N/A
SEC15U50BPC,"MaxLite Security Light w/ Photocontrol, 15 Watt, 5000K",85.12,61.88,#N/A
SKFHBP,"MaxLite High Bay, Corn Lamp Ready Fixture, E39 Socket",51.87,42.5,#N/A
SKPT20,"Maxlite Post Top Retrofit, 20 Watt, E26 Base",53.2,47.5,#N/A
SKPT30,"Maxlite Post Top Retrofit, 30 Watt, E39 Base",87.78,78.38,#N/A
SKPT50,"Maxlite Post Top Retrofit, 50 Watt, E39 Base",93.1,83.13,#N/A
SL-48421-50,"MaxLite Shop Light, 4 Foot, 42 Watt",25.27,22.5,#N/A
SM1H65,"MaxLite Channel Letter Modules, Gen 2 High Output, 1 Chip, .54 Watts, 100 Module Strip",77.15,67.5,#N/A
SM1N65,"MaxLite Channel Letter Modules, Gen 2, 1 Chip, .36 Watts, 200 Module Strip",133,115,#N/A
SM2H65,"MaxLite Channel Letter Modules, Gen 2 High Output, 2 Chip, 1.08 Watts, 100 Module Strip",98.42,86.25,#N/A
SM2N65,"MaxLite Channel Letter Modules, Gen 2, 2 Chip, .72 Watts, 100 Module Strip",73.15,63.75,#N/A
SM3H65,"MaxLite Channel Letter Modules, Gen 2 High Output, 3 Chip, 1.62 Watts, 100 Module Strip",126.35,110,#N/A
SM3N65,"MaxLite Channel Letter Modules, Gen 2, 3 Chip, 1 Watts, 100 Module Strip",1.33,1.25,#N/A
SM4H65,"MaxLite Channel Letter Modules, Gen 2 High Output, 4 Chip, 2.16 Watts, 50 Module Strip",1.33,1.25,#N/A
SM4N65,"MaxLite Channel Letter Modules, Gen 2, 4 Chip, 1.44 Watts, 100 Module Strip",1.33,1.25,#N/A
TH-R2G10MR-W,"MaxLite Track Head Round Style 2, GU10 Base",16.25,,#N/A
TH-S1E26P30-W,"MaxLite Track Head Square Style 1, E26 Base",21.25,,#N/A
TR2.37BZ,"Maxlite Round Tenon Reducer, 2-3/8 Inches to 1/2 Inches NPT HUB",19.95,15.94,#N/A
TRK22D2335,"MaxLite LED Troffer Retrofit Kit, 2x2 Foot, 23 Watt, Dimmable, 3500K",61.18,52.5,#N/A
TRK22D2340,"MaxLite LED Troffer Retrofit Kit, 2x2 Foot, 23 Watt, Dimmable, 4000K",61.18,52.5,#N/A
TRK22D2350,"MaxLite LED Troffer Retrofit Kit, 2x2 Foot, 23 Watt, Dimmable, 5000K",61.18,52.5,#N/A
TRK24D3335,"MaxLite LED Troffer Retrofit Kit, 2x4 Foot, 33 Watt, Dimmable, 3500K",73.15,63.75,#N/A
TRK24D3340,"MaxLite LED Troffer Retrofit Kit, 2x4 Foot, 33 Watt, Dimmable, 4000K",73.15,63.75,#N/A
TRK24D3350,"MaxLite LED Troffer Retrofit Kit, 2x4 Foot, 33 Watt, Dimmable, 5000K",73.15,63.75,#N/A
U13T8DF235,"MaxLite LED DirectFit T8 U-Bend Lamps, G13 Pin Base, 3500K",15.1,13.13,#N/A
U13T8DF240,"MaxLite LED DirectFit T8 U-Bend Lamps, G13 Pin Base, 4000K",15.1,13.13,#N/A
U13T8DF250,"MaxLite LED DirectFit T8 U-Bend Lamps, G13 Pin Base, 5000K",15.1,13.13,#N/A
U15.5T8SE235,"MaxLite LED Internal Driver T8 U-Bend Lamps, Plastic, G13 Pin Base, 15 Watt, 3500K",16.1,14.25,#N/A
U15.5T8SE240,"MaxLite LED Internal Driver T8 U-Bend Lamps, Plastic, G13 Pin Base, 15 Watt, 4000K",16.1,14.25,#N/A
U15.5T8SE250,"MaxLite LED Internal Driver T8 U-Bend Lamps, Plastic, G13 Pin Base, 15 Watt, 5000K",16.1,14.25,#N/A
V5ST19DLED22,"Maxlite LED Filament Lamp, ST19, 5 Watt, Dimmable",5.64,,5113
VT-V4840U-40,"MaxLite TriMAX Vapor Tight Fixture, 4 Foot, 40 Watt, Dimmable",78.47,70,#N/A
WP-ADL50U-40B,"MaxLite Large Adjustable Wall Pack, 50 Watt, 4000K",135.66,108.75,#N/A
WP-ADL50U-50B,"MaxLite Large Adjustable Wall Pack, 50 Watt, 5000K",135.66,108.75,#N/A
WP-ADL70U-50B,"MaxLite Large Adjustable Wall Pack, 70 Watt, 5000K",172.9,137.5,#N/A
WP-ADS15U-40B,"MaxLite Small Adjustable Wall Pack, 15 Watt, 4000K",74.48,51.25,#N/A
WP-ADS15U-50B,"MaxLite Small Adjustable Wall Pack, 15 Watt, 5000K",74.48,51.25,#N/A
WP-ADS20U-40B,"MaxLite Small Adjustable Wall Pack, 20 Watt, 4000K",86.45,63.75,#N/A
WP-ADS20U-50B,"MaxLite Small Adjustable Wall Pack, 20 Watt, 5000K",86.45,63.75,#N/A
WP-ADS29U-40B,"MaxLite Small Adjustable Wall Pack, 29 Watt, 4000K",98.42,75,#N/A
WP-ADS29U-50B,"MaxLite Small Adjustable Wall Pack, 29 Watt, 5000K",98.42,75,#N/A
WP-OP120-40B,"MaxLite WallMax Wall Pack, 120 Watt, Dimmable, 4000K",183.54,150,#N/A
WP-OP120-50B,"MaxLite WallMax Wall Pack, 120 Watt, Dimmable, 5000K",183.54,150,#N/A
WP-OP28-40B,"MaxLite WallMax Wall Pack, 28 Watt, Dimmable, 4000K",94.43,81.25,#N/A
WP-OP28-50B,"MaxLite WallMax Wall Pack, 28 Watt, Dimmable, 5000K",94.43,81.25,#N/A
WP-OP40-40B,"MaxLite WallMax Wall Pack, 40 Watt, Dimmable, 4000K",102.41,88.75,#N/A
WP-OP40-50B,"MaxLite WallMax Wall Pack, 40 Watt, Dimmable, 5000K",102.41,88.75,#N/A
WP-OP50-40B,"MaxLite WallMax Wall Pack, 50 Watt, Dimmable, 4000K",113.05,93.75,#N/A
WP-OP50-50B,"MaxLite WallMax Wall Pack, 50 Watt, Dimmable, 5000K",113.05,93.75,#N/A
WP-OP80-40B,"MaxLite WallMax Wall Pack, 80 Watt, Dimmable, 4000K",152.95,125,#N/A
WP-OP80-50B,"MaxLite WallMax Wall Pack, 80 Watt, Dimmable, 5000K",152.95,125,#N/A
WP-WMP90UT2,"MaxLite Architectural Wall Pack, 90W, Dimmable",125,,#N/A
WP-WMP90UT2-50B,"MaxLite Architectural Wall Pack, 90W, Dimmable",198.17,125,#N/A
